Set,Latitude,Longitude,SiteNum,State,Region,Stratum,Determination_Final,Determination_Final_Notes,DeterminationStatus,OriginSource,OriginID,Notes,COMID,NHDPlus_Region,SourceType,DateSampled,Database,VisitNo,DateTime,SiteCode,ParentGlobalID,CalcTime,Zyear,Myear,Dyear,FritzClass,Determination_Updated
Validation,34.43172,-110.59955,1590,Arizona,WM,Southern Rockies,E,No flow in summer except after rain,Acceptable,Navajo County Alerts,None,https://www.navajocountyaz.gov/Departments/Public-Works/Flood-Control/Navajo-County-ALERT-System,NA,NA,NA,6/27/2020,Validation 1_1,1,6/27/2020,AZWM1590,8fa8f2c7-4460-4090-98e3-b31c0cd165bf,8/5/2021 16:12,NA,NA,NA,NA,E
Validation,34.43112,-110.59446,1591,Arizona,WM,Southern Rockies,E,No flow in summer except after rain,Acceptable,Navajo County Alerts,None,https://www.navajocountyaz.gov/Departments/Public-Works/Flood-Control/Navajo-County-ALERT-System,NA,NA,NA,6/28/2020,Validation 1_1,1,6/28/2020,AZWM1591,c09a51b2-5bd9-4570-9164-28ccec4a9f74,8/5/2021 16:12,NA,NA,NA,NA,E
Validation,35.26914,-111.65651,1842,Arizona,WM,Southern Rockies,E,Hydro data is being sent,Preferred,City of Flagstaff Ed Schenk,NA,Natural. https://rain.flagstaffaz.gov/jefmap/,NA,NA,NA,6/23/2020,Validation 1_1,1,6/23/2020,AZWM1842,7a1b44a5-d9ea-49ad-8fcd-4a0d8654deb6,8/5/2021 16:12,NA,NA,NA,NA,E
Validation,35.25357,-111.62441,1843,Arizona,WM,Southern Rockies,E,Hydro data is being sent,Preferred,City of Flagstaff Ed Schenk,NA,https://rain.flagstaffaz.gov/jefmap/,NA,NA,NA,6/23/2020,Validation 1_1,1,6/23/2020,AZWM1843,3d373639-6729-4a3f-94fa-1369e1b81e87,8/5/2021 16:12,NA,NA,NA,NA,E
Validation,35.2225,-111.62278,1848,Arizona,WM,Southern Rockies,E,Hydro data is being sent,Preferred,City of Flagstaff Ed Schenk,NA,Natural channel upstream a bit. https://rain.flagstaffaz.gov/jefmap/,NA,NA,NA,10/22/2020,Validation 1_1,1,10/22/2020,AZWM1848,6c7a8a1f-61c2-4a2f-ac22-0b2cb4c15bfe,8/5/2021 16:12,NA,NA,NA,NA,E
Validation,34.0555,-109.40117,1853,Arizona,WM,Southern Rockies,P,NA,Acceptable,USGS,9383409,NA,NA,NA,NA,6/29/2020,Validation 1_1,1,6/29/2020,AZWM1853,0c59bc1e-8f38-4a5a-95e0-182f2e58c703,8/5/2021 16:12,NA,NA,NA,NA,P
Validation,34.058,-109.29633,1854,Arizona,WM,Southern Rockies,I,Possibly E but record is insufficient,Acceptable,USGS,9383417,NA,NA,NA,NA,6/30/2020,Validation 1_1,1,6/30/2020,AZWM1854,b74f120f-a423-4e0e-8bf2-5bab2c9a6b66,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,33.67503,-109.27011,1855,Arizona,WM,Southern Rockies,I,NA,Acceptable,USGS,9489082,NA,NA,NA,NA,10/20/2020,Validation 1_1,1,10/20/2020,AZWM1855,d47ad33d-1855-4a70-90dc-9c30cef4a2fc,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,35.05905,-111.71671,1867,Arizona,WM,Southern Rockies,E,NA,Acceptable,Zimmerman et al. 1999,None,NA,NA,NA,NA,6/23/2020,Validation 1_1,1,6/23/2020,AZWM1867,a9d513e3-56b9-4574-b8aa-31771a439744,8/5/2021 16:12,NA,NA,NA,NA,E
Baseline,41.9043,-124.15433,477,California,WM,CA-NV,I,NA,Acceptable,Marisa Parish of Riverkeeper,NA,NA,22226690,18,NA,9/7/2019,FlowDuration004,1,9/7/2019,CAWM0477,16894bf5-b3d9-4d40-ba70-037cd685382b,8/5/2021 16:12,127.75,146,47,I-epi,I
Baseline,41.9043,-124.15433,477,California,WM,CA-NV,I,NA,Acceptable,Marisa Parish of Riverkeeper,NA,NA,22226690,18,NA,8/12/2020,Baseline Revisits 1_1,2,8/12/2020,CAWM0477,b8ab7fd4-15d5-464f-99c7-0d1b7ddaf410,8/5/2021 16:12,127.75,146,47,I-epi,I
Baseline,41.9043,-124.15433,477,California,WM,CA-NV,I,NA,Acceptable,Marisa Parish of Riverkeeper,NA,NA,22226690,18,NA,10/31/2020,Baseline Revisits 1_1,3,10/31/2020,CAWM0477,06146823-6de7-4913-b56b-a5923b45cd7b,8/5/2021 16:12,127.75,146,47,I-epi,I
Baseline,41.88688,-124.14424,478,California,WM,CA-NV,I,NA,Acceptable,Marisa Parish of Riverkeeper,NA,NA,22226720,18,NA,9/7/2019,FlowDuration004,1,9/7/2019,CAWM0478,b562bacc-aa9b-418e-bb0d-5e11a8a2b534,8/5/2021 16:12,268.3054893,79,125,I-epi,I
Baseline,41.88688,-124.14424,478,California,WM,CA-NV,I,NA,Acceptable,Marisa Parish of Riverkeeper,NA,NA,22226720,18,NA,8/12/2020,Baseline Revisits 1_1,2,8/12/2020,CAWM0478,e5dbf77c-5322-4af8-8cae-ebd443b68968,8/5/2021 16:12,268.3054893,79,125,I-epi,I
Baseline,41.88688,-124.14424,478,California,WM,CA-NV,I,NA,Acceptable,Marisa Parish of Riverkeeper,NA,NA,22226720,18,NA,10/31/2020,Baseline Revisits 1_1,3,10/31/2020,CAWM0478,e19c397d-85b0-480c-a367-36c731e646bc,8/5/2021 16:12,268.3054893,79,125,I-epi,I
Validation,41.12516,-122.06861,485,California,WM,CA-NV,P,NA,Acceptable,USGS,11367760,NA,7960871,18,NA,8/11/2020,Validation 1_1,1,8/11/2020,CAWM0485,bada7d2a-9a98-4725-a843-8ef3732c35a7,8/5/2021 16:12,NA,NA,NA,NA,P
Validation,41.01738,-121.65415,495,California,WM,CA-NV,P,NA,Acceptable,USGS,11361000,NA,7948412,18,NA,8/10/2020,Validation 1_1,1,8/10/2020,CAWM0495,5415e8ac-8cf9-4689-99ab-214c2857bb41,8/5/2021 16:12,NA,NA,NA,NA,P
Validation,40.72459,-122.83475,507,California,WM,CA-NV,P,NA,Acceptable,USGS,11525530,NA,8246406,18,NA,9/6/2020,Validation 1_1,1,9/6/2020,CAWM0507,678671b9-54af-4ed4-ad2e-e6a9bd506356,8/5/2021 16:12,NA,NA,NA,NA,P
Case Study,40.48042,-123.89088,519,California,WM,CA-NV,P,NA,Acceptable,USGS,11478500,NA,2705477,18,NA,7/1/2020,Validation 1_1,1,7/1/2020,CAWM0519,093fe39f-ad0b-407d-9482-c91691a7869d,8/5/2021 16:12,NA,NA,NA,NA,P
